name,target
爱佑慈善基金会,民政部
北京大学教育基金会,教育部
北京交通大学教育基金会,教育部
传媒大学教育基金会,教育部
海仓慈善基金会,民政部
华民慈善基金会,民政部
华润慈善基金会,民政部
凯风公益基金会,民政部
李四光地质科学奖基金会,国土资源部
南都公益基金会,民政部
人保慈善基金会,民政部
清华大学教育基金会,教育部
桃源居公益事业发展基金会,民政部
王振滔慈善基金会,民政部
吴阶平医学基金会,卫生部
吴作人国际美术基金会,中共中央统战部
香江社会救助基金会,民政部
友成企业家扶贫基金会,国务院扶贫开发领导小组办公室
中国癌症基金会,国家卫生和计划生育委员会
中国红十字基金会,中国红十字会总会
中华国际科学交流基金会,科学技术部
中国禁毒基金会,公安部
中国发展研究基金会,国务院发展研究中心
中国马克思主义研究基金会,中共中央党校
宝钢教育基金会,教育部
慈济慈善事业基金会,国家宗教事务局
华阳慈善基金会,国务院台湾事务办公室
浙江大学教育基金会,教育部
中国听力医学发展基金会,卫生部
青岛市残疾儿童医疗康复基金会,青岛市卫生局
中华社会文化发展基金会,文化部
中国法律援助基金会,司法部
中国华侨公益基金会,中华全国归国华侨联合会
招商局慈善基金会,民政部
山东省儿童少年福利基金会,山东省妇女联合会
山东省老龄事业发展基金会,山东省老龄工作委员会办公室
中国残疾人福利基金会,中国残疾人联合会
中国初级卫生保健基金会,卫生部
中国儿童少年基金会,中华全国妇女联合会
中国扶贫基金会,国务院扶贫开发领导小组办公室
中国妇女发展基金会,中华全国妇女联合会
中国古生物化石保护基金会,国土资源部 
山东省彩虹援助基金会,山东电力集团公司
中国关心下一代健康体育基金会,教育部
中国光彩事业基金会,中共中央统战部
中国光华科技基金会,共青团中央
中国国际文化交流基金会,文化部
中国华文教育基金会,国务院侨务办公室
中国华夏文化遗产基金会,文化部
安徽省儿童少年基金会,安徽省妇联
安徽省中小学幼儿教师奖励基金会,安徽省教育厅
中国健康促进基金会,卫生部
安徽天徽慈善基金会,安徽省民政厅民间组织管理局
中国交响乐发展基金会,文化部
中国教师发展基金会,教育部
中国科学技术大学教育基金会,安徽省教育厅
中国教育发展基金会,教育部
温州市永乐科技奖励医疗救助基金会,浙江省科协
杭州市关爱孤儿基金会,浙江省民政厅
浙江省发展侨务事业基金会,浙江省侨办
中国金融教育发展基金会,中国人民银行
浙江省网易慈善基金会,浙江省民政厅
中国老龄事业发展基金会,民政部 
中国留学人才发展基金会,中共中央统战部
中国绿化基金会,国家林业局
中国民航科普基金会,中国民用航空总局
中国农业大学教育基金会,教育部
中国青少年发展基金会,共青团中央委员会
中国人寿慈善基金会,民政部
中国少年儿童文化艺术基金会,文化部
中国少数民族文化艺术基金会,文化部
中国社会福利基金会,民政部
中国宋庆龄基金会,中共中央统战部
中国医药卫生事业发展基金会,卫生部
中国移动慈善基金会,民政部
中国艺术节基金会,文化部
浙江省扶贫基金会,浙江省农办
中国志愿服务基金会,民政部
中华环境保护基金会,环境保护部
中华健康快车基金会,卫生部
中华少年儿童慈善救助基金会,民政部
中华社会救助基金会,民政部
中华思源工程扶贫基金会,中共中央统战部
中央财经大学教育基金会,教育部
中远海运慈善基金会,民政部
周培源基金会,中共中央统战部
北京中艺艺术基金会,北京市文化局
北京新阳光慈善基金会,北京市民政局
北京华亚艺术基金会,北京市文化局
北京友好传承文化基金会,北京市文学艺术界联合会
北京市企业家环保基金会,北京市科学技术协会
杭州市送温暖工程基金会,浙江省总工会
北京协和医学基金会,北京市卫生局
浙江正泰公益基金会,浙江省民政厅
北京万通公益基金会,北京市科学技术协会
浙江省老年事业发展基金会,浙江省民政厅
浙江省娃哈哈慈善基金会,浙江省民政厅
浙江永强慈善基金会,浙江省民政厅
杭州市老龄事业发展基金会,浙江省民政厅
桐庐县老龄事业发展基金会,浙江省民政厅
北京水源保护基金会,北京市科学技术协会
福建海西青年创业基金会,福建省团省委
福建集美大学教育发展基金会,福建省教育厅
福建农林大学教育发展基金会,福建省教育厅
北京市鸿儒金融教育基金会,北京市社会科学界联合会
北京市仁爱慈善基金会,北京市民政局
福建省黄仲咸教育基金会,福建省侨办
北京科技大学教育发展基金会,教育部
北京市西部阳光农村发展基金会,北京市民政局
福建省潘振东教育基金会,福建省经济社团联合会
北京市希望公益基金会,北京市科学技术协会
福建省石竹慈善基金会,福建省委统战部
福州大学教育发展基金会,福建省教育厅
北京文化发展基金会,中共北京市委宣传部
林则徐基金会,福建省政府办公厅
北京市美疆助学基金会,北京市教育委员会
厦门中山医院基金会,福建省侨办
北京光华慈善基金会,北京市民政局
北京市搜候中国城市文化基金会,北京市文学艺术界联合会
北京市中国人民大学教育基金会,北京市教育委员会
福建省扶贫基金会,福建省农委办
福建省发展体育事业基金会,福建省体育总会
福建省妇女儿童发展基金会,福建省妇联
闽都中小银行教育发展基金会,福建省厦门市教育局
福建省龙岩扶贫基金会,福建省农委办
上海工商界爱国建设特种基金会,上海市商务委员会
上海唐君远教育基金会,中共上海市委统战部
北京市戏曲艺术发展基金会,北京市文化局
上海联和新泰战略研究与发展基金会,上海市科学技术协会
北京绿化基金会,北京市园林绿化局
上海交通大学教育发展基金会,上海市教育委员会
北京工业大学教育基金会,北京市教育委员会
北京青少年发展基金会,中国共产主义青年团北京市委员会
上海市防癌抗癌事业发展基金会,上海市科学技术委员会
上海能近公益基金会,上海市民政局
上海特殊关爱基金会,上海市民政局
北京节能与电力技术开发基金会,北京市发展和改革委员会
上海夏征农民族文化教育发展基金会,中共上海市委宣传部
北京妇女儿童发展基金会,北京市妇女联合会
上海联劝公益基金会,上海市民政局
北京市长江科技扶贫基金会,北京市科学技术协会
上海民建扶帮公益基金会,上海市民政局
北京世纪慈善基金会,北京市民政局
北京工商大学教育基金会,北京市教育委员会
上海市拥军优属基金会,上海市民政局
上海宋庆龄基金会,中国福利会
上海市华侨事业发展基金会,上海市归国华侨联合会
上海市儿童基金会,上海市妇女联合会
上海市青少年发展基金会,共青团上海市委员会
上海交响乐团文化发展基金会,上海市文化广播影视管理局
爱德基金会,江苏省委统战部
江苏长江平民教育基金会,江苏省教育厅
常熟理工学院教育发展基金会,江苏省民政厅
常州工程职业技术学院教育发展基金会,江苏省教育厅
河北省红十字基金会,河北省红十字会
江苏昌明教育基金会,江苏省教育厅
江苏海澜教育发展基金会,江苏省教育厅
江苏宏大青少年人才发展基金会,共青团江苏省委
江苏华夏慈善基金会,江苏省民政厅
山西省创业就业基金会,山西省人力资源和社会保障厅
江苏省儿童少年福利基金会,江苏省妇女联合会
江苏省扶贫基金会,江苏省农业委员会
江苏省青少年发展基金会,共青团江苏省委
天津市鹤童老年公益基金会,天津市民政局
天津中国民航大学教育发展基金会,天津市教育委员会
天津市宏志教育基金会,天津市教育委员会
天津市滨海社会救助基金会,天津市总工会
天津市妇女儿童发展基金会,天津市妇女联合会
江苏陶欣伯助学基金会,江苏省民政厅
天津市人口福利基金会,天津市人口和计划生育委员会
刘天华阿炳中国民族音乐基金会,江苏省文联
南京大学教育发展基金会,江苏省教育厅
南京工业大学教育发展基金会,江苏省教育厅
南京金鹰国际慈济基金会,江苏省侨办
包头市扶贫基金会,包头市扶贫办
科左后旗扶贫助学基金会,科左后旗教育局
老牛基金会,内蒙古自治区人民政府金融工作办公室
南京市中小学幼儿教师奖励基金会,江苏省教育厅
南京信息大学教育发展基金会,江苏省教育厅
南通市爱心帮困基金会,江苏省总工会
内蒙古民族青年文化艺术基金会,内蒙古团委
内蒙古青年创业就业基金会,内蒙古团委
内蒙古云曙碧公益事业基金会,内蒙古自治区民政厅
内蒙古自治区儿童基金会,内蒙古自治区妇女联合会
无锡灵山慈善基金会,江苏省宗教局
盐城市扶贫基金会,江苏省农业委员会
张家港市农联爱心基金会,江苏省民政厅
江苏宏德文化出版基金会,江苏省出版局
江苏七彩凤凰母语发展基金会,江苏省民政厅
江苏沙钢公益基金会,江苏省民政厅
江苏省关心下一代基金会,江苏省关心下一代工作委员会
江苏中大公益基金会,江苏省民政厅
南京新城市慈善基金会,江苏省民政厅
扬州市翔宇妇女儿童基金会,江苏省妇联
黑龙江省妇女儿童基金会,黑龙江省妇女联合会
南航“十分”关爱基金会,中国民用航空总局
腾讯公益慈善基金会,民政部
万科公益基金会,民政部
广西荣和爱心基金会,共青团广西区委
广西桂嘉汇青少年儿童救助基金会,共青团广西区委
黑龙江省华侨经济文化基金会,黑龙江省归国华侨联合会
广西李宁基金会,政协广西壮族自治区委员会办公厅
广西国海扶贫助学基金会,共青团广西区委
哈尔滨市老年基金会,黑龙江省老龄工作委员会
广西壮族自治区扶贫基金会,广西壮族自治区扶贫开发领导小组办公室
广西妇女儿童发展基金会,广西壮族自治区妇女联合会
海南改革发展研究基金会,中国（海南）改革发展研究院
海南省李惠智教育基金会,海南省教育厅
辽宁爱之光防盲基金会,辽宁省卫生厅
广东省中山大学教育发展基金会,广东省民政厅
沈阳市职工爱心慈善基金会,辽宁省总工会
广东省扶贫基金会,广东省农业厅
深圳市青少年发展基金会,共青团广东省委员会
广州市青少年发展基金会,共青团广东省委员会
辽宁省妇女儿童基金会,辽宁省妇女联合会
广州市南山自然科学学术交流基金会,广东省科学技术协会
吉林师范大学助学基金会,吉林省教育厅
广州市职工济难基金会,广东省总工会
深圳市警察基金会,深圳市公安局
广东省人口基金会,广东省人口和计划生育委员会
广东省合生珠江教育发展基金会,广东省教育厅
广东省环境保护基金会,广东省环境保护厅
广州市振兴粤剧基金会,广州市文化局
吉林大学教育基金会,吉林省教育厅
梅州市希望教育基金会,梅州市教育局
广东省教育基金会,广东省教育厅
陕西省老龄事业发展基金会,陕西省老龄工作委员会办公室
深圳市绿色基金会,深圳市城市管理局 
延安教科文发展基金会,陕西省教育厅
陕西省西安市老龄事业发展基金会,陕西省老龄工作委员会办公室
深圳市老龄事业发展基金会,深圳市老龄工作委员会办公室
东莞市东莞理工学院教育发展基金会,广东省教育厅
广东省志愿者事业发展基金会,共青团广东省委
深圳市综研软科学发展基金会,广东省民间组织管理局
陕西纯山教育基金会,中共陕西省委统战部
广州市禁毒基金会,广东省委政法委员会
广东省豪爵慈善基金会,广东省民政厅
广东省华南理工大学教育发展基金会,广东省教育厅
陕西省红十字基金会,陕西省红十字会
陕西妇女儿童发展基金会,陕西省妇女联合会
广东省华美教育慈善基金会,广东省民政厅 
青海省雪域仁济慈善基金会,青海省民政厅
广东省东风日产阳光关爱基金会,广东省民政厅
广东省利海绿色基金会,广东省建设厅
广东省绿景慈善基金会,广东省民政厅
宁夏煤炭职工扶贫济困基金会,宁夏回族自治区民政厅
宁夏回族自治区扶贫基金会,宁夏回族自治区政府办公厅
新疆妇女儿童发展基金会,新疆维吾尔自治区妇女联合会
广东省妇女儿童基金会,广东省妇女联合会
重庆孤残儿童援助基金会,重庆市民政局
广东省消防救助基金会,广东省公安厅
广东省千禾社区公益基金会,"广东省民政厅	"
重庆市法律援助基金会,重庆市司法局
深圳市博时慈善基金会,广东省民政厅
广东省春桃慈善基金会,广东省民政厅
广东省卓越慈善基金会,广东省民政厅
重庆浙商爱心基金会,重庆市民政局
广州市羊城志愿服务基金会,共青团广东省委员会
广东省惠民慈善基金会,广东省民政厅   
广东省广东外语外贸大学教育发展基金会,东莞市教育局
重庆市妇女儿童基金会,重庆市妇女联合会
重庆宣传文化发展基金会,中共重庆市委宣传部
湖南省长郡未来基金会,长沙市教育局
湖南省文化艺术基金会,湖南省文化厅
湖南弘慧教育发展基金会,怀化市教育局
湖南省长沙理工大学教育基金会,湖南省教育厅
湖南飞翔公益基金会,湖南省烟草专卖局
湖南省中南林业科技大学教育基金会,湖南省教育厅
湖南省扶贫基金会,湖南省扶贫开发办公室
湖南省青少年发展基金会,共青团湖南省委
湖南省老龄事业发展基金会,湖南省老龄工作委员会
湖南青年创业就业基金会,共青团湖南省委
湖南省妇女儿童发展基金会,湖南省妇女联合会
江西省革命老区爱心基金会,江西省民政厅
河南省宋庆龄基金会,河南省委统战部
中南财经政法大学教育发展基金会,湖北省教育厅
武汉大学马克昌法学基金会,湖北省教育厅
湖北省青年创业就业基金会,共青团湖北省委员会
湖北省体育基金会,湖北省民政厅
四川省国电大渡河爱心帮扶基金会,四川省总工会
成都市老龄事业发展基金会,四川省老龄办委托成都市老龄办代管
四川省青年创业就业基金会,共青团四川省委
四川电子科技大学教育发展基金会,成都市教育局
云南省俊发教育扶贫基金会,云南省教育厅
云南大益爱心基金会,云南省教育厅
云南民族文化发展基金会,云南省委宣传部
云南教育基金会,云南省教育厅
云南省绿色环境发展基金会,云南省林业厅
云南省青年创业就业基金会,共青团云南省委
云南省扶贫基金会,云南省委老干部局
贵州省春晖行动发展基金会,中国共产主义青年团贵州省委员会
贵州省贵阳市生态文明基金会,贵州省环保局
贵州省青年创业就业基金会,中国共产主义青年团贵州省委员会
贵州文化薪火乡村发展基金会,贵州省委统战部
北京中国石油大学教育基金会,北京市教育委员会
中国经济改革研究基金会,国家发展和改革委员会
北京康盟慈善基金会,北京市民政局
浙江省人民教育基金会,浙江省教育厅
浙江省李书福资助教育基金会,浙江省教育厅
浙江千手慈善基金会,浙江省民政厅
绍兴市柯桥区中厦慈善基金会,浙江省民政厅
杭州市余杭区老年基金会,浙江省民政厅
南通市老区扶贫基金会,江苏省民政厅
四川省志愿服务基金会,四川省委宣传部
河南足球事业发展基金会,河南省体育局
芜湖市爱心助学基金会,芜湖市教育局
安徽省青年创业就业基金会,共青团安徽省委
北京民生文化艺术基金会,北京市文化局
深圳市郑卫宁慈善基金会,深圳市民政局
海门文明村爱心基金会,江苏省民政厅
北京利星行慈善基金会,北京市民政局
广东省茂华慈善基金会,广东省民政厅
黄奕聪慈善基金会,国务院侨务办公室
上海恩德公益基金会,上海市民政局
中国绿色碳汇基金会,国家林业局
江苏省美德基金会,江苏省精神文明建设指导委员会
上海民生艺术基金会,上海市文化广播影视管理局
比亚迪慈善基金会,民政部
张家港市七里庙村利民基金会,江苏省民政厅
北京中央民族大学教育基金会,北京市教育委员会
神华公益基金会,民政部
宁夏青年创业就业基金会,共青团宁夏回族自治区委员会
福建省侨联事业发展基金会,福建省侨联
浙江省阳光教育基金会,浙江省教育厅
建德市老龄事业发展基金会,浙江省民政厅
青岛市天泰公益基金会,青岛市民政局
山东省青年创业就业基金会,共青团山东省委员会
黑龙江省东北林业大学教育发展基金会,黑龙江省教育厅
黑龙江省青年创业就业基金会,共青团黑龙江省委员会
惠州市协和医疗救助基金会,广东省民政厅
广东省麦田教育基金会,广东省民政厅
北京京华公益事业基金会,北京市民政局
福州市人口福利基金会,福建省人口和计划生育委员会
辽宁省青年创业基金会,中国共产主义青年团辽宁省委员会
四川成都蓝光助学基金会,成都市教育局
晋江市陈埭民族中学教育基金会,泉州市教育局
湖北省妇女儿童发展基金会,湖北省妇联
河北省青年就业创业基金会,共青团河北省委
湖北省宜昌一中教育发展基金会,湖北省教育厅 
深圳壹基金公益基金会,深圳市民政局
北京百度公益基金会,北京市民政局
泛海公益基金会,中共中央统战部
河仁慈善基金会,国务院侨务办公室
顶新公益基金会,国务院台湾事务办公室
广东省环球公益基金会,广东省民政厅
广东省华南农业大学教育发展基金会,广东省民政厅
上海慈慧公益基金会,上海市民政局
厦门观音寺慈善基金会,福建省民族与宗教事务厅
北京瑞普华老年救助基金会,北京市民政局 
阿拉善生态基金会,深圳证券交易所
长沙市志愿服务基金会,湖南省民政厅
河南省儿童希望救助基金会,河南省民政厅
河南省光彩事业基金会,河南省委统战部
华中科技大学教育发展基金会,湖北省教育厅
武汉理工大学教育发展基金会,湖北省教育厅
长江大学教育发展基金会,湖北省教育厅
中国地质大学（武汉）教育发展基金会,湖北省教育厅
哈尔滨师范大学教育发展基金会,黑龙江省教育厅
山东省中国海洋大学教育基金会,山东省教育厅
黑龙江大学教育发展基金会,黑龙江省教育厅
黑龙江省体育发展基金会,黑龙江省体育局
安徽韩再芬黄梅艺术基金会,安徽省民政厅民间组织管理局
长安大学教育基金会,陕西省教育厅
甘肃妇女儿童发展基金会,甘肃省妇女联合会
青海妇女儿童发展基金会,青海省妇女联合会
江汉大学教育发展基金会,湖北省教育厅
北京中国国家博物馆事业发展基金会,北京市文化局
北京金融街慈善基金会,北京市民政局
苏州公安大病特困救助基金会,江苏省公安厅
连云港正大天晴爱心基金会,江苏省民政厅
安利公益基金会,民政部
上海华信公益基金会,上海市民政局
长春工程学院教育基金会,吉林省教育厅
石家庄市志愿服务基金会,河北省委宣传部
北京华彬文化基金会,北京市文化局
北京爱它动物保护公益基金会,北京市民政局
浙江大学宁波理工学院教育发展基金会,浙江省教育厅
中南大学教育基金会,教育部
云南华商公益基金会,云南省侨联
北京中央音乐学院教育基金会,北京市教育委员会
云南君仁博爱基金会,云南省残联
广东省方圆公益基金会,无
广东省保利地产和谐文化基金会,广东省民政厅
广东省唯品会慈善基金会,广东省民政厅
河北石家庄二中教育发展基金会,河北省教育厅
温州市实验中学教育发展基金会,浙江省教育厅
浙江泰隆慈善基金会,浙江省民政厅
浙江省革命老区发展基金会,浙江省民政厅
吴江盛虹爱心基金会,江苏省民政厅
苏州和合文化基金会,江苏省宗教事务局
广东省山海源慈善基金会,广东省民政厅
宁夏麦丽燕基金会,宁夏民政厅
台州市老年事业发展基金会,浙江省民政厅
江西师范大学教育发展基金会,江西省教育厅
亿利公益基金会,中共中央统战部
永恒慈善基金会,民政部
河南大学教育发展基金会,教育部
宁波鄞州银行公益基金会,浙江省民政厅
海南成美慈善基金会,海南省民政厅
淮阴工学院教育发展基金会,江苏省教育厅
广东省执信教育发展基金会,广东省人民政府相关职能部门
广东省广州中医药大学教育发展基金会,广东省人民政府相关职能部门
江苏省扬州中学教育发展基金会,江苏省教育厅
北京市戈友公益援助基金会,北京市民政局
青岛大学教育发展基金会,山东省教育厅
首都师范大学教育基金会,北京市教育委员会
四川省体育基金会,四川省体育局
四川桃花源生态保护基金会,四川省林业厅
四川资阳五月阳光教育基金会,资阳市教育局
福建省泉州第五中学教育基金会,泉州市教育局
湖北大学教育发展基金会,湖北省教育厅
浙江千训爱心慈善基金会,浙江省民政厅
呼伦贝尔市扶贫基金会,内蒙古自治区扶贫办
上海仁德基金会,上海市民政局
吉林省康乃尔公益基金会,吉林省慈善总会
陕西省青年创业就业基金会,共青团陕西省委员会
上海明德公益基金会,上海市民政局
上海思麦公益基金会,上海市民政局
广东省华商慈善基金会,广东省民政厅
广东省依依关爱儿童基金会,广东省民政厅
阿里巴巴公益基金会,民政部
重庆西南大学教育基金会,重庆市教育委员会
甘肃省兰州市城关区文化产业发展基金会,甘肃省文化厅
贵州省同心光彩事业基金会,贵州省委统战部
湖南省宁乡一中教育基金会,长沙市教育局
云南省关心下一代基金会,云南省委办公厅
湖南省湖湘文化基金会,湖南省文化厅
贵州省妇女儿童发展基金会,贵州省妇女联合会
大连市妇女儿童发展基金会,辽宁省妇女联合会
江苏元林慈善基金会,江苏省民政厅
北京中金公益基金会,北京市民政局 
深圳市雅昌艺术基金会,深圳市人民政府相关职能部门
北京市阳光保险爱心基金会,北京市民政局
甘肃兴华青少年助学基金会,共青团甘肃省委
辽宁省辽宁大学教育基金会,辽宁省教育厅
内蒙古乌拉特后旗盛安爱心济困基金会,内蒙古自治区民政厅
东台市阳光助残基金会,江苏省残联
北京启明星辰慈善公益基金会,北京市民政局
北京感恩公益基金会,北京市民政局
东风公益基金会,民政部
浙江敦和慈善基金会,浙江省民政厅
温州大学教育发展基金会,浙江省教育厅
湖北工业大学教育发展基金会,湖北省民政厅
广东省潮商公益基金会,广东省人民政府相关职能部门
河北省佛教慈善基金会,河北省民族宗教事务厅
昆山市党员关爱暨帮扶困难群众基金会,江苏省民政厅
北京京安公益基金会,北京市民政局
深圳市红树林湿地保护基金会,深圳市人民政府相关职能部门
深圳市TCL公益基金会,深圳市人民政府相关职能部门
青海省玉树州困难职工帮扶基金会,青海省民政厅
深圳市朱树豪纪念慈善基金会,深圳市人民政府相关职能部门
鲁迅文化基金会,中国文学艺术界联合会
中国海油海洋环境与生态保护公益基金会,民政部
宁波诺丁汉大学教育发展基金会,浙江省教育厅
浙江省寅幸慈善基金会,浙江省民政厅
广西民族大学教育基金会,广西壮族自治区教育厅
增爱公益基金会,民政部
思利及人公益基金会,国务院侨务办公室
北京电影学院教育基金会,北京市教育委员会
上海汤臣慈善基金会,海市民政局
石河子大学教育基金会,兵团教育局
新疆维吾尔自治区新勇教育基金会,新疆维吾尔自治区教育厅
安徽黄山公益基金会,安徽省民政厅民间组织管理局
北海天宁慈善基金会,北海市民政局
北京尚善公益基金会,北京市民政局
北京怡海公益基金会,北京市民政局
云南省妇女儿童发展基金会,云南省妇联
榆林学院教育发展基金会,陕西省教育厅
武汉市社会组织发展基金会,湖北省民政厅
浙江青田之家公益基金会,浙江省民政厅
宁夏回族自治区关心下一代基金会,宁夏回族自治区关心下一代委员会
深圳市志愿服务基金会,共青团深圳市委员会
广东省广雅教育发展基金会,广东省民政厅
中兴通讯公益基金会,民政部
福建省同心慈善基金会,福建省民族与宗教事务厅
上海海事大学教育发展基金会,上海市教育委员会
上海医学创新发展基金会,上海市科学技术协会
深圳市欣旺达慈善基金会,深圳市人民政府相关职能部门
河南省华夏历史文明传承创新基金会,河南省文化厅
吉林省体育事业发展基金会,吉林省体育局
安徽省体育事业发展基金会,安徽省体育局
江苏言恭达文化基金会,江苏省文化厅
北京市壹嘉壹慈善基金会,北京市民政局
北京中国青年政治学院教育基金会,北京市教育委员会
山东省友芳公益基金会,临沂市民政局
山东英才学院教育发展基金会,山东省教育厅
青岛农业大学教育发展基金会,山东省教育厅
长沙市体育发展基金会,湖南省体育局
广东省崇善乐慈善基金会,广东省人民政府相关职能部门
广东省财新公益基金会,广东省社会组织管理局
重庆市武隆县扶贫基金会,重庆市扶贫开发办公室
广东省鸿发慈善基金会,广东省民政厅
广西壹方慈善基金会,广西壮族自治区民政厅
北京健康长城公益基金会,北京市民政局 
广东省谢汉才慈善基金会,直接登记
深圳市绿色低碳发展基金会,
安徽李恩三慈善基金会,安徽省教育厅
北京联想控股公益基金会,北京市民政局
福建省人口福利基金会,福建省人口和计划生育委员会。
福建省正荣公益基金会,福建省经济社团联合会
广东省尚东公益基金会,广东省人民政府相关职能部门
顺丰公益基金会,交通运输部
重庆大学教育发展基金会,教育部
兰州大学教育发展基金会,教育部
江西省体育发展基金会,江西省体育局
资阳市关心下一代基金会,四川省关心下一代工作委员会
雅安市关心下一代基金会,四川省关心下一代工作委员会
江苏国信企业发展研究基金会,江苏省发展和改革委员会
北京凌盛爱心公益基金会,直接登记
北京语言大学教育基金会,北京市民政局
北京永青农村发展基金会,无
河南省福兴儿童公益基金会,河南省民政厅
山东省普觉公益基金会,山东省宗教事务局
山东省体育基金会,山东省体育局
广东省一心公益基金会,广东省人民政府相关职能部门
北京市永源公益基金会,无
广东省明德幸福文化教育基金会,广东省人民政府相关职能部门
攀枝花市关心下一代基金会,四川省关心下一代工作委员会
广西吕贻标爱心基金会,广西壮族自治区民政厅
重庆光彩事业基金会,中共重庆市委统战部
安徽道德建设基金会,安徽省文明办
安徽金牛公益基金会,安徽省民政厅民间组织管理局
济南大学教育发展基金会,山东省教育厅
常州宝林慈善基金会,江苏省宗教局
重庆市青年志愿服务基金会,共青团重庆市委
浙江省北京师范大学南湖附属学校教育基金会,浙江省教育厅
西安科技大学教育基金会,陕西省民政厅
河北省妇女儿童发展基金会,河北省妇联
绵阳市关心下一代基金会,四川省关心下一代工作委员会
深圳市精锐教育基金会,
北京永真公益基金会,北京市民政局
北京萤火虫爱心公益基金会,无
广东省丹姿慈善基金会,广东省人民政府相关职能部门
郑州市嵩山文明研究基金会,河南省文化厅
广东省南方阅读公益基金会,广东省人民政府相关职能部门
苏州明德公益基金会,江苏省民政厅
浙江中国计量学院教育基金会,浙江省教育厅
广东省慧灵智障人士扶助基金会,广东省人民政府相关职能部门
新疆生产建设兵团青年创业增收基金会,新疆生产建设兵团团委
杭州市公羊会公益基金会,市民政局
宁波市海曙区公益组织发展基金会,宁波市民政局
遂宁市关心下一代基金会,四川省关心下一代工作委员会
西昌市关心下一代基金会,四川省关心下一代工作委员会
凉山州关心下一代基金会,四川省关心下一代工作委员会
山西省妇女儿童发展基金会,山西省民政厅
深圳市同心慈善基金会,深圳市相关职能部门及单位
北京彩虹公益基金会,北京市民政局
深圳市荣超公益基金会,深圳市相关职能部门及单位
北京天使妈妈慈善基金会,直接登记
海南省残疾人基金会,海南省残疾人联合会
北京三一公益基金会,无
广东省何享健慈善基金会,广东省人民政府相关职能部门
南昌市青少年发展基金会,共青团江西省委
南昌市汇仁教育基金会,无
浙江省体育基金会,杭州市体育场路212号体育大厦6002
北京达理公益基金会,无
上海大学教育发展基金会,上海市教育委员会
上海诺亚公益基金会,上海市民政局
泸州市关心下一代基金会,四川省关心下一代工作委员会
浙江西子慈善基金会,浙江省民政厅
泉州向善救助基金会,泉州市民政局
武汉市石门峰慈善基金会,武汉市民政局
浙江馥莉慈善基金会,浙江省民政厅
浙江省杭州宋都公益基金会,浙江省民政厅
上海瑞华慈善基金会,上海市民政局
广东省烛光教育发展基金会,
深圳市石门坎教育公益基金会,深圳市相关职能部门及单位
武汉善之源公益基金会,武汉市民政局
洪泽县爱心助学基金会,
上海荣昶公益基金会,直接登记
四川喜马拉雅慈善基金会,直接登记
浙江天景生公益基金会,直接登记
北京绿色阳光环保公益基金会,直接登记
广州农商银行太阳公益基金会,
湖南践行国学公益基金会,湖南省民政厅
德阳市关心下一代基金会,四川省关心下一代工作委员会
北京京东公益基金会,无
四川省索玛慈善基金会,四川省民政厅
福建省安发高益槐科技教育发展基金会,福建省民政厅
广东省同心圆慈善基金会,广东省人民政府相关职能部门
北京阳光未来艺术教育基金会,直接登记
北京市光明慈善基金会,直接登记
上海叔同深渊科学技术发展基金会,
上海至美公益基金会,直接登记
上海王正国创伤医学发展基金会,直接登记
上海科技大学教育发展基金会,直接登记
上海乐三兰馨教育发展基金会,直接登记
浙江马云公益基金会,浙江省民政厅
武汉大学姚梅镇法学基金会,湖北省教育厅
巨人慈善基金会,民政部
浙江湖畔大学创业研究基金会,浙江省民政厅
黑龙江省哈尔滨妇女儿童基金会,黑龙江省妇女联合会
厦门外国语学校教育基金会,直接登记
上海觉群文教基金会,
北京老牛兄妹公益基金会,直接登记
宁波市善园公益基金会,直接登记
中天爱心慈善基金会,民政部
武汉科技大学教育发展基金会,湖北省教育厅
北京白求恩公益基金会,北京市民政局
北京市银杏公益基金会,北京市民政局
北京麦田慈善基金会,北京市民政局
内蒙古光彩事业基金会,直接登记
晋江市安海中心小学种胜教育基金会,晋江市民政局
东润公益基金会,民政部
广东省广铝公益基金会,广东省人民政府相关职能部门
